id,original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,genre_names,profit
13436,13 เกมสยอง,13: Game of Death,th,2006-10-04,5.248,112,6.4,0,0,114,Released,False,"Crime, Horror, Thriller",0
767499,The Manor,The Manor,en,2021-10-08,7.279,197,5.6,0,0,81,Released,False,Horror,0
767256,The Two Faces of Evil,The Two Faces of Evil,en,1980-11-29,0.6,0,0.0,0,0,52,Released,False,Horror,0
196830,Stranded,Stranded,en,2013-05-22,12.2,120,3.7,0,0,84,Released,False,"Horror, Science Fiction",0
796759,The Cove,The Cove,en,2021-01-17,1.828,2,6.5,0,0,100,Released,False,"Adventure, Horror",0
886963,GoodBi,GoodBi,en,2021-12-12,0.6,0,0.0,0,0,90,Released,False,Horror,0
863841,Into the Uncanny Valley,Into the Uncanny Valley,en,2020-10-10,0.6,1,3.0,0,0,12,Released,False,Horror,0
319314,Imprint,Imprint,ja,2006-04-07,6.198,130,6.8,0,0,63,Released,False,"Horror, TV Movie",0
892113,Death Valley,Death Valley,en,2021-11-18,5.702,28,4.5,0,0,93,Released,False,"Action, Horror, Science Fiction",0
29423,"Die Sister, Die!","Die Sister, Die!",en,1978-12-01,1.789,10,5.3,0,0,82,Released,False,Horror,0
104369,Прогулка по эшафоту,Walking Down the Place of a Skull,ru,1992-01-01,1.306,6,4.7,0,0,123,Released,False,"Fantasy, Horror, Mystery, Thriller",0
778436,The Burglary,The Burglary,en,2020-01-01,0.6,1,10.0,0,0,3,Released,False,Horror,0
563289,Truth or Double Dare,Truth or Double Dare,en,2018-10-30,0.741,3,6.7,0,0,62,Released,False,Horror,0
1031146,Hands,Hands,en,2017-01-01,0.6,0,0.0,0,0,5,Released,False,Horror,0
356912,รด.เขาชนผี ที่เขาชนไก่,"Keep Running! Sir, Yes Sir!",th,2015-01-22,1.01,2,3.5,0,0,83,Released,False,"Comedy, Horror",0
11822,Nekromantik,Nekromantik,de,1987-05-27,11.566,196,5.3,0,0,71,Released,False,"Drama, Horror",0
944251,SHARK CAR: The Movie,SHARK CAR: The Movie,en,2022-02-26,0.675,0,0.0,0,0,17,Released,False,"Comedy, Horror",0
476017,Mirrored,Mirrored,en,2015-10-23,0.6,1,8.0,0,0,9,Released,False,Horror,0
536919,The Creek,The Creek,en,2018-08-20,0.661,0,0.0,250,0,20,Released,False,"Horror, Mystery",-250
849265,ダークレッド,Dark Red,ja,2019-01-01,0.6,0,0.0,0,0,45,Released,False,Horror,0
423389,The Day I Vanished,The Day I Vanished,en,1959-01-01,0.6,0,0.0,0,0,4,Released,False,"Horror, Science Fiction",0
562627,Rumah Angker Pondok Indah,Rumah Angker Pondok Indah,id,2013-09-15,0.6,0,0.0,0,0,77,Released,False,Horror,0
803135,Paralysis,Paralysis,en,2016-04-08,0.6,0,0.0,0,0,8,Released,False,"Drama, Horror, Thriller",0
581013,Silent Number,Silent Number,en,1993-01-01,0.698,1,10.0,0,0,15,Released,False,"Horror, Thriller",0
244458,The Voices,The Voices,en,2014-01-19,12.963,1515,6.2,0,0,101,Released,False,"Comedy, Crime, Fantasy, Horror",0
677338,Apollyon,Apollyon,en,2019-09-14,0.6,2,5.0,0,0,8,Released,False,Horror,0
561088,The Candlelight Witch,The Candlelight Witch,en,2018-09-08,0.6,0,0.0,0,0,7,Released,False,Horror,0
50838,Wrecked,Wrecked,en,2010-04-01,7.177,286,5.3,0,8020,86,Released,False,"Horror, Mystery, Thriller",8020
338598,Slay Belles,Slay Belles,en,2018-12-04,2.549,12,4.4,0,0,77,Released,False,"Adventure, Horror",0
930962,Condamned,Condamned,en,2018-01-01,0.6,3,5.0,0,0,10,Released,False,Horror,0
976898,Visions of Filth,Visions of Filth,en,2021-12-01,0.6,0,0.0,0,0,63,Released,False,Horror,0
227569,Early Frost,Early Frost,en,1982-01-01,1.96,1,1.0,0,0,92,Released,False,"Drama, Horror",0
354216,The Devil's Candy,The Devil's Candy,en,2017-03-17,8.581,549,6.3,0,0,79,Released,False,"Drama, Horror, Thriller",0
42507,베스트셀러,Bestseller,ko,2010-04-15,2.628,45,5.9,0,0,117,Released,False,"Horror, Mystery, Thriller",0
471925,Entrei em Pânico ao Saber o Que Vocês Fizeram na Sexta-Feira 13 do Verão Passado - Parte 2: A Hora da Volta da Vingança dos Jogos Mortais de Halloween,I Scream When I Knew What You Did in Friday the 13th of Last Summer - Part 2: I Saw the Hour of the Return of the Revenge in Halloween,pt,2011-10-20,5.274,5,5.3,0,0,82,Released,False,"Comedy, Horror",0
982869,Cry,Cry,en,2009-10-03,0.6,0,0.0,0,0,0,Released,False,"Horror, Thriller",0
1032212,The Hound,The Hound,de,2022-08-18,0.737,0,0.0,0,0,0,Released,False,"Horror, Mystery",0
800844,Haemophobia,Haemophobia,en,2019-08-19,0.6,0,0.0,1000,0,19,Released,False,"Drama, Horror, Science Fiction, Thriller",-1000
